Ref,Val,Package,PosX,PosY,Rot,Side
C1,1uF,C_0805_2012Metric,68.11,14.745,180,top
C10,10nF,C_0805_2012Metric,68.58,70.104,90,top
C11,10nF,C_0805_2012Metric,68.326,82.804,90,top
C12,10nF,C_0805_2012Metric,50.292,69.342,90,top
C13,10nF,C_0805_2012Metric,68.326,93.091,90,top
C2,10uF,C_0805_2012Metric,94.653,33.668,90,top
C3,220pF,C_0805_2012Metric,82.042,88.773,270,top
C4,150pF,C_0805_2012Metric,71.882,88.773,90,top
C5,470pF,C_0805_2012Metric,74.422,88.773,90,top
C6,1200pF,C_0805_2012Metric,76.962,88.773,90,top
C7,2700pF,C_0805_2012Metric,79.502,88.773,90,top
C8,10nF,C_0805_2012Metric,68.834,52.705,90,top
C9,10nF,C_0805_2012Metric,76.2,62.611,90,top
D1,MBRM120LT3,D_Powermite_KA,88.011,17.018,90,top
D2,B220A,D_SMA,80.264,17.653,90,top
FID1,Fiducial,Fiducial_1.5mm_Mask3mm,157.734,10.033,0,top
FID2,Fiducial,Fiducial_1.5mm_Mask3mm,149.352,96.266,0,top
FID3,Fiducial,Fiducial_1.5mm_Mask3mm,10.414,92.456,0,top
LED1,CHRG,LED_0805_2012Metric,41.783,50.419,90,top
LED2,ACPR,LED_0805_2012Metric,41.783,55.118,270,top
Q1,FDN306P,SuperSOT-3,84.239,19.444,0,top
Q2,MJD210T4G,TO-252-2,96.647,13.208,0,top
Q3,BC817-25,SOT-23,44.704,72.517,270,top
R1,931R,R_0805_2012Metric,92.837,88.773,90,top
R10,330R,R_0805_2012Metric,44.323,55.118,270,top
R11,RSENSE,R_0805_2012Metric,87.287,45.225,90,top
R12,1R,R_0805_2012Metric,94.653,29.477,90,top
R13,100R,R_0805_2012Metric,67.564,49.657,0,top
R14,100R,R_0805_2012Metric,74.93,59.436,0,top
R15,10K,R_0805_2012Metric,66.421,52.705,90,top
R16,10K,R_0805_2012Metric,73.787,62.611,90,top
R17,100R,R_0805_2012Metric,67.31,66.802,0,top
R18,100R,R_0805_2012Metric,66.929,79.502,0,top
R19,10K,R_0805_2012Metric,66.04,70.104,90,top
R2,2.8K,R_0805_2012Metric,95.377,88.773,90,top
R20,10K,R_0805_2012Metric,65.786,82.804,90,top
R21,100R,R_0805_2012Metric,51.181,66.421,0,top
R22,100R,R_0805_2012Metric,66.929,89.789,0,top
R23,10K,R_0805_2012Metric,52.705,69.342,90,top
R24,10K,R_0805_2012Metric,65.659,93.091,90,top
R25,1K,R_0805_2012Metric,41.275,68.58,270,top
R26,33R,R_1206_3216Metric,44.069,62.992,270,top
R27,10K,R_0805_2012Metric,45.847,68.58,270,top
R28,100R,R_0805_2012Metric,43.561,68.58,90,top
R29,1K,R_0805_2012Metric,50.038,77.724,90,top
R3,1R,R_0805_2012Metric,71.793,14.745,180,top
R30,1K,R_0805_2012Metric,44.958,77.724,270,top
R4,576R,R_0805_2012Metric,88.9,87.262,90,top
R5,2.21K,R_0805_2012Metric,86.36,87.262,270,top
R6,4.42K,R_0805_2012Metric,92.494,67.958,0,top
R7,68K,R_0805_2012Metric,93.383,45.225,270,top
R8,330R,R_0805_2012Metric,44.323,50.419,90,top
R9,390K,R_0805_2012Metric,90.335,45.225,90,top
U1,LTC4060EFE,TSSOP-16-1EP_4.4x5mm_P0.65mm,86.106,56.134,90,top
